filename,population_size,n_generations,mutate_mode,crossover_mode,best_score,fittest,time
		 (id: 3078, score: 100, library_id: 3, scanned: True)
		 (id: 3079, score: 100, library_id: 3, scanned: True)
		 (id: 3080, score: 100, library_id: 3, scanned: True)
		 (id: 3081, score: 100, library_id: 3, scanned: True)
		 (id: 3082, score: 100, library_id: 3, scanned: True)
		 (id: 3083, score: 100, library_id: 3, scanned: True)
		 (id: 3084, score: 100, library_id: 3, scanned: True)
		 (id: 3085, score: 100, library_id: 3, scanned: True)
		 (id: 3086, score: 100, library_id: 3, scanned: True)
		 (id: 3087, score: 100, library_id: 3, scanned: True)
		 (id: 3088, score: 100, library_id: 3, scanned: True)
		 (id: 3089, score: 100, library_id: 3, scanned: True)
		 (id: 3090, score: 100, library_id: 3, scanned: True)
		 (id: 3091, score: 100, library_id: 3, scanned: True)
		 (id: 3092, score: 100, library_id: 3, scanned: True)
		 (id: 3093, score: 100, library_id: 3, scanned: True)
		 (id: 3094, score: 100, library_id: 3, scanned: True)
		 (id: 3095, score: 100, library_id: 3, scanned: True)
		 (id: 3096, score: 100, library_id: 3, scanned: True)
		 (id: 3097, score: 100, library_id: 3, scanned: True)
		 (id: 3098, score: 100, library_id: 3, scanned: True)
		 (id: 3099, score: 100, library_id: 3, scanned: True)
		 (id: 3100, score: 100, library_id: 3, scanned: True)
		 (id: 3101, score: 100, library_id: 3, scanned: True)
		 (id: 3102, score: 100, library_id: 3, scanned: True)
		 (id: 3103, score: 100, library_id: 3, scanned: True)
		 (id: 3104, score: 100, library_id: 3, scanned: True)
		 (id: 3105, score: 100, library_id: 3, scanned: True)
		 (id: 3106, score: 100, library_id: 3, scanned: True)
		 (id: 3107, score: 100, library_id: 3, scanned: True)
		 (id: 3108, score: 100, library_id: 3, scanned: True)
		 (id: 3109, score: 100, library_id: 3, scanned: True)
		 (id: 3110, score: 100, library_id: 3, scanned: True)
		 (id: 3111, score: 100, library_id: 3, scanned: True)
		 (id: 3112, score: 100, library_id: 3, scanned: True)
		 (id: 3113, score: 100, library_id: 3, scanned: True)
		 (id: 3114, score: 100, library_id: 3, scanned: True)
		 (id: 3115, score: 100, library_id: 3, scanned: True)
		 (id: 3116, score: 100, library_id: 3, scanned: True)
		 (id: 3117, score: 100, library_id: 3, scanned: True)
		 (id: 3118, score: 100, library_id: 3, scanned: True)
		 (id: 3119, score: 100, library_id: 3, scanned: True)
		 (id: 3120, score: 100, library_id: 3, scanned: True)
		 (id: 3121, score: 100, library_id: 3, scanned: True)
		 (id: 3122, score: 100, library_id: 3, scanned: True)
		 (id: 3123, score: 100, library_id: 3, scanned: True)
		 (id: 3124, score: 100, library_id: 3, scanned: True)
		 (id: 3125, score: 100, library_id: 3, scanned: True)
		 (id: 3126, score: 100, library_id: 3, scanned: True)
		 (id: 3127, score: 100, library_id: 3, scanned: True)
		 (id: 3128, score: 100, library_id: 3, scanned: True)
		 (id: 3129, score: 100, library_id: 3, scanned: True)
		 (id: 3130, score: 100, library_id: 3, scanned: True)
		 (id: 3131, score: 100, library_id: 3, scanned: True)
		 (id: 3132, score: 100, library_id: 3, scanned: True)
		 (id: 3133, score: 100, library_id: 3, scanned: True)
